4.11835	0.0131363
4.86227	0.630542
5.21268	0.801314
5.93471	1.40558
6.50405	1.70772
6.83246	1.90476
7.1169	2.14122
7.31377	2.32512
7.35737	2.41708
7.48805	2.74548
7.5093	2.99507
7.5964	3.21839
7.70533	3.48112
7.72687	3.62562
7.77037	3.75698
7.81365	3.96716
7.79104	4.21675
7.81217	4.50575
7.78999	4.5977
7.57055	4.65025
7.50357	5.08374
7.45939	5.20197
7.39234	5.66174
7.28521	4.7422
7.19886	4.24302
7.04675	3.73071
6.8724	3.33662
6.65393	3.03448
6.47932	2.73235
6.34821	2.56158
6.12938	2.3908
5.91055	2.22003
5.69186	1.99672
5.21045	1.61576
4.4012	0.827586
3.04361	0.0788177
>
>
1.85159	-0.0131363
1.96655	0.197044
2.16381	0.45977
2.39409	0.696223
2.60802	0.866995
2.96998	1.1954
3.33192	1.53695
3.62797	1.85222
3.90765	2.11494
4.12129	2.43021
4.40067	2.83744
4.64816	2.71921
4.27012	2.19376
4.20449	2.04926
4.08935	1.93103
3.94137	1.74713
3.54661	1.3399
3.31638	1.07718
3.02016	0.840722
2.78975	0.669951
2.6581	0.56486
2.57587	0.472906
2.46078	0.328407
2.32929	0.144499
2.19775	-0.0131363
>
