3.21926	0
3.70067	0.380952
4.02912	0.56486
4.40131	0.788177
4.68582	0.998358
4.92644	1.22167
5.14498	1.49754
5.45074	1.95731
5.62539	2.24631
5.93139	2.61412
6.25926	3.00821
6.39052	3.12644
6.45433	3.84893
6.58371	4.65025
6.69181	5.21511
6.99868	5.26765
7.28024	6.55501
7.52132	6.60755
7.51751	8
7.8026	8
7.60994	6.27915
7.50044	6.2266
7.5232	5.92447
7.45824	5.62233
7.43746	5.20197
7.39461	4.83415
7.26422	4.40066
6.87135	3.71757
6.82962	2.94253
6.83009	2.77176
6.91906	2.31199
6.964	1.9179
6.98615	1.83908
6.8119	1.40558
6.7473	0.972085
6.52879	0.683087
5.87165	0.407225
5.63064	0.328407
5.28016	0.183908
4.90786	0
>
>
1.80212	0
1.86767	0.183908
1.96617	0.380952
2.09774	0.525452
2.21269	0.735632
2.39333	1.06404
2.50798	1.41872
2.68825	1.93103
2.85233	2.29885
3.00014	2.56158
3.13135	2.87685
3.18067	2.94253
3.24582	3.32348
3.29486	3.52053
3.32721	3.82266
3.40884	4.20361
3.49047	4.58456
3.60469	5.14943
3.67003	5.43842
3.73521	5.80624
3.86575	6.44992
3.93144	6.56814
4.31048	6.60755
4.37365	7.94745
4.50547	7.97373
4.3942	5.97701
4.34496	5.87192
4.2308	5.28079
4.11655	4.72906
3.65709	3.71757
3.46157	2.61412
3.3635	2.2069
3.34748	1.98358
3.34797	1.74713
3.18397	1.3399
3.18486	0.906404
3.20178	0.696223
3.16917	0.525452
3.03768	0.341544
2.85674	0.157635
2.70868	0.0131363
>
