2.85267	-0.0187231
3.60989	0.32347
3.98848	0.502764
3.90947	0.535766
4.05148	0.584559
3.76714	0.650909
3.71974	0.667432
3.70391	0.683869
3.70388	0.700263
3.7827	0.765621
3.75099	0.831281
3.78234	0.94595
3.82936	1.12615
3.9392	1.47011
3.89083	1.97844
3.87381	2.60144
3.87313	2.9457
3.88789	3.47025
3.91863	3.8964
3.98062	4.48639
4.02776	4.60102
4.15385	4.71543
4.32737	4.79692
4.53105	5.59964
4.57813	5.74705
4.6091	6.05845
4.70241	6.7795
4.70183	7.07459
4.74813	7.61544
4.7479	7.7302
4.77912	7.91044
4.62116	7.94366
4.51073	7.89478
4.47974	7.59978
4.51209	7.20625
4.4665	6.30474
4.38804	6.05905
4.35662	5.97717
4.1358	5.86302
3.96221	5.81431
3.94658	5.73239
3.86786	5.61785
3.80522	5.35572
3.79004	5.04429
3.74403	4.35589
3.69744	3.96258
3.65108	3.45451
3.62082	2.78246
3.59031	2.24156
3.57546	1.76619
3.56009	1.55311
3.46578	1.34026
3.27679	1.09487
2.93016	0.71877
2.6465	0.440857
2.3155	0.146679
2.22079	0.130544
2.06309	0.0326145
