2.20523	0.0158327
2.45786	0.0151424
2.88231	0.964802
3.1494	1.6362
3.51056	2.65161
3.60503	2.7825
4.23591	3.14143
4.32954	3.69855
4.46971	4.68178
4.92107	7.99202
4.54215	7.97666
4.38804	6.05905
4.32605	5.46905
4.24736	5.33812
3.80593	4.99507
3.61846	3.97918
3.03784	2.1611
2.64507	1.16217
2.25234	0.146852
>
4.24208	0.0102675
4.51048	0.0259277
5.20421	0.532229
5.56682	0.809927
6.48093	1.65989
6.74874	1.97063
7.04793	2.37965
7.22065	2.87098
8.13583	3.17996
8.16592	3.93397
8.16314	5.34382
8.1456	6.22911
7.94021	6.29525
7.84654	5.75452
7.49981	5.4276
6.91634	5.05214
6.7125	4.33139
6.63472	3.74144
6.55661	3.31542
6.39998	2.6765
6.03841	1.87421
5.43986	1.13814
4.82517	0.582445
4.3839	0.157421
>
