1.74	0.0421527
2.8731	0.0309063
3.05931	0.225444
3.5249	0.739518
4.08376	1.42019
4.41909	1.83691
4.28996	2.22482
4.21656	2.61287
4.23716	3.4864
4.46024	3.55624
4.44781	6.20439
4.54317	7.2722
4.56335	7.96549
4.32187	7.96493
4.22477	6.14841
4.05562	5.30227
3.99983	5.27441
3.96248	5.19114
3.9063	4.9969
3.70152	4.80232
3.64444	4.21986
3.60577	3.56813
3.08378	2.76276
2.72916	2.04097
2.50451	1.29175
2.29918	0.861469
1.88928	0.333659
1.77738	0.139293
>
3.18896	0.0593658
5.19513	0.0501368
5.49276	0.231067
6.3112	0.704362
6.60909	0.996212
6.94468	1.52385
7.16824	1.80166
7.03882	2.0648
6.98444	2.64699
7.05981	3.10471
7.04191	3.39583
7.09786	3.49301
7.50669	3.56328
7.52662	4.14565
7.58434	5.0054
7.66183	6.37819
7.77709	8.01451
7.57272	8.00017
7.06418	4.99033
6.91535	4.89293
6.69228	4.82309
6.636	4.58726
6.58018	4.54554
6.31802	3.64372
6.1492	2.93622
5.75794	2.43619
5.38507	1.853
5.04948	1.32536
4.63985	0.908472
4.00749	0.574256
3.37514	0.240039
>
