4.00527	-0.00547889
4.00495	0.158456
4.14647	0.453152
4.43059	0.501556
4.49304	0.862041
4.82449	0.926709
4.86972	2.00855
5.94338	2.02201
6.14816	2.26735
6.16375	2.36567
6.4634	2.54518
6.50889	3.49588
7.07728	3.51072
7.20289	3.87103
7.35942	4.55913
7.43779	4.854
7.51547	5.49313
7.70359	6.18114
7.81334	6.57428
7.88963	7.91833
8.03171	7.93434
8.01886	6.44257
7.99275	3.67215
7.89831	3.52487
7.75626	3.49247
7.69544	2.31231
7.60245	1.42732
6.95524	1.34712
6.89279	0.986632
6.15074	0.955872
5.91461	0.595862
5.5357	0.580504
5.04735	0.00806734
