2.2311	2.155
2.7996	1.7682
2.799563	1.768157
2.76855	1.774724
2.738041	1.781482
2.708026	1.788436
2.678496	1.79559
2.649441	1.802948
2.620852	1.810517
2.592721	1.8183
2.565039	1.826303
2.537798	1.834532
2.510991	1.842993
2.48461	1.851691
2.458647	1.860632
2.433096	1.869823
2.40795	1.879271
2.383202	1.888983
2.358846	1.898964
2.334876	1.909224
2.311285	1.919769
2.288069	1.930608
2.26522	1.941748
2.242735	1.953199
2.220606	1.964969
2.198831	1.977068
2.177402	1.989504
2.156315	2.002288
2.135566	2.015429
2.11515	2.02894
2.095062	2.04283
2.075298	2.057111
2.055853	2.071795
2.036724	2.086895
2.017905	2.102422
1.999394	2.118391
1.981186	2.134814
1.963277	2.151707
1.945664	2.169084
2.2311	2.155
