tp_c,chi,pyroxenite_frac,h_km,fbar,pbar_gpa,vp_bulk_km_s,v_lc_theory_km_s,bulk_in_bounds,h_match_km,vlc_match_km_s,feasible
1200.0,1.0,0.0,0.002372510113559656,0.002175935352517822,0.6848785449414339,6.815299736687268,6.968312912015676,False,-29.99762748988644,-0.031687087984323625,False
1200.0,2.0,0.0,0.004724510297585027,0.0021712313521497725,0.684917744944501,6.815279092818728,6.968292513304867,False,-29.995275489702415,-0.031707486695133014,False
1200.0,4.0,0.0,0.009368250766371489,0.0021619438712121974,0.6849951406189807,6.815238324494068,6.96825222912735,False,-29.99063174923363,-0.03174777087265035,False
1200.0,6.0,0.0,0.013933796608473159,0.0021528127795279964,0.6850712330496824,6.815198230363041,6.96821261113703,False,-29.986066203391527,-0.031787388862969834,False
1200.0,8.0,0.0,0.018423580981654197,0.002143833210781636,0.6851460627892354,6.815158789674725,6.968173638829416,False,-29.981576419018346,-0.031826361170583795,False
1200.0,10.0,0.0,0.022839899688001708,0.0021350005733689354,0.6852196681010079,6.815119982849485,6.968135292857392,False,-29.977160100312,-0.03186470714260814,False
1200.0,12.0,0.0,0.02718497985176782,0.0021263104130414003,0.6852920861037373,6.815081790878025,6.968097554437408,False,-29.972815020148232,-0.03190244556259181,False
1200.0,16.0,0.0,0.035669783625831286,0.002109340805493283,0.6854334994999717,6.815007180134192,6.968023829738775,False,-29.96433021637417,-0.0319761702612249,False
1210.0,1.0,0.0,0.01814119901956346,0.0060053744726086935,0.7173161605723912,6.857819853451935,7.010328078106402,False,-29.981858800980437,0.010328078106401684,False
1210.0,2.0,0.0,0.03585432394422128,0.00596994822275938,0.7176113793211355,6.85768354015965,7.010193383612325,False,-29.96414567605578,0.010193383612325135,False
1210.0,4.0,0.0,0.07006934471371196,0.005901518181220393,0.7181816296672937,6.857419730143879,7.0099327064911785,False,-29.929930655286288,0.0099327064911785,False
1210.0,6.0,0.0,0.10277991919939566,0.005836097032249024,0.7187268059087217,6.857166898263208,7.009682877133507,False,-29.897220080800604,0.009682877133506906,False
1210.0,8.0,0.0,0.13410500491412947,0.005773446860819562,0.719248890670634,6.856924205716069,7.009443066698991,False,-29.86589499508587,0.00944306669899131,False
1210.0,10.0,0.0,0.16415006581060254,0.005713356739026617,0.7197496416855752,6.856690906655108,7.009212538197638,False,-29.835849934189397,0.009212538197638231,False
1210.0,12.0,0.0,0.1930090856062101,0.005655638699435399,0.7202306253488353,6.85646633450751,7.0089906329725675,False,-29.80699091439379,0.008990632972567525,False
1210.0,16.0,0.0,0.24749659554969128,0.005546663679548439,0.72113875051456,6.856041039866742,7.008570388948586,False,-29.75250340445031,0.008570388948585972,False
1220.0,1.0,0.0,0.048710569858517516,0.009821623918992245,0.7501372183202193,6.897558251061641,7.0495945595460405,False,-29.951289430141482,0.04959455954604053,False
1220.0,2.0,0.0,0.09556207233160308,0.009727920914046074,0.7509180766947707,6.897245657697796,7.049285678406943,False,-29.904437927668397,0.04928567840694331,False
1220.0,4.0,0.0,0.18418956363912287,0.009550665931431042,0.752395201549896,6.896651031491873,7.048698113726865,False,-29.815810436360877,0.048698113726865166,False
1220.0,6.0,0.0,0.266767177098842,0.009385510704511602,0.753771495107558,6.896093106029945,7.048146813948483,False,-29.733232822901158,0.04814681394848286,False
1220.0,8.0,0.0,0.3440212881836686,0.009231002482341944,0.7550590636256385,6.895567751037722,7.047627697846873,False,-29.65597871181633,0.04762769784687304,False
1220.0,10.0,0.0,0.41655574099028314,0.009085933576728718,0.7562679711724154,6.8950715022181255,7.047137342265466,False,-29.583444259009717,0.047137342265465954,False
1220.0,12.0,0.0,0.48487796148324236,0.008949289135742798,0.7574066748472981,6.894601423996808,7.046672846491534,False,-29.515122038516758,0.046672846491533804,False
1220.0,16.0,0.0,0.6105456904361972,0.00869795367783689,0.7595011369965139,6.8937300840611835,7.045811854215351,False,-29.389454309563803,0.04581185421535139,False
1230.0,1.0,0.0,0.09410044424278041,0.013624855126246135,0.7833438075268105,6.934604579158969,7.086200941336464,True,-29.90589955575722,0.08620094133646372,False
1230.0,2.0,0.0,0.18327301330968027,0.013446509988112339,0.7848300170112589,6.934095711429941,7.085698116702381,True,-29.81672698669032,0.08569811670238092,False
1230.0,4.0,0.0,0.3486215603469489,0.013115812894037803,0.7875858261285467,6.933140956080708,7.084754699618274,True,-29.65137843965305,0.08475469961827375,False
1230.0,6.0,0.0,0.49906277896425877,0.012814930456803186,0.7900931797721684,6.932259647787253,7.083883857364205,True,-29.50093722103574,0.08388385736420467,False
1230.0,8.0,0.0,0.6369151532787534,0.012539225708174194,0.7923907193440767,6.931441517672408,7.083075443011786,True,-29.363084846721247,0.08307544301178638,False
1230.0,10.0,0.0,0.7639990118745814,0.012285057990982534,0.7945087836540072,6.9306783406210135,7.082321329123801,True,-29.23600098812542,0.08232132912380141,False
1230.0,12.0,0.0,0.8817699442160141,0.012049516126299667,0.7964716325263644,6.929963418410815,7.0816148970232105,True,-29.118230055783986,0.08161489702321045,False
1230.0,16.0,0.0,1.0938922780054625,0.011625271458720773,0.8000070047561886,6.9286571203671965,7.080324112015013,True,-28.906107721994537,0.08032411201501333,False
1240.0,1.0,0.0,0.15433302648336067,0.01741523932732808,0.8169380952771794,6.969051311513036,7.1202385990679575,True,-29.84566697351664,0.12023859906795753,False
1240.0,2.0,0.0,0.29844607124312716,0.017127013237808554,0.8193399793565088,6.968359672454132,7.11955517361794,True,-29.701553928756873,0.11955517361793966,False
1240.0,4.0,0.0,0.5606063786052644,0.016602692623084277,0.8237093178125445,6.967074216647539,7.118284983333298,True,-29.439393621394736,0.1182849833332984,False
1240.0,6.0,0.0,0.7939272563711945,0.016136050867552414,0.8275979991086433,6.9659005389958715,7.1171252437741455,True,-29.206072743628805,0.11712524377414546,False
1240.0,8.0,0.0,1.0037879138139623,0.015716329552666882,0.8310956767326894,6.964821014559174,7.116058539306755,True,-28.996212086186038,0.11605853930675458,False
1240.0,10.0,0.0,1.1942017690057405,0.015335501842283324,0.8342692409858857,6.963821959023746,7.115071348126468,True,-28.80579823099426,0.11507134812646758,False
1240.0,12.0,0.0,1.368242899410827,0.014987419581473153,0.8371699264926371,6.962892515716754,7.114152942489641,True,-28.631757100589173,0.11415294248964081,False
1240.0,16.0,0.0,1.6763455312521813,0.014371214317790447,0.8423049703566597,6.961208961744506,7.1124893816824555,True,-28.32365446874782,0.11248938168245548,False
1250.0,1.0,0.0,0.22943287764708487,0.02119294774481275,0.8509223271283424,7.000993563200029,7.15180151827085,False,-29.770567122352915,0.1518015182708501,False
1250.0,2.0,0.0,0.44057170653129063,0.020770670087044335,0.8544413076097458,7.000159557804106,7.150977417165385,False,-29.55942829346871,0.15097741716538504,False
1250.0,4.0,0.0,0.8176833999147419,0.020016446700277434,0.8607265024994699,6.998615371419722,7.14945156887635,True,-29.182316600085258,0.14945156887634958,False
1250.0,6.0,0.0,1.1464883683109406,0.019358836763485033,0.8662065853060733,6.9972117728095355,7.148064638801391,True,-28.85351163168906,0.1480646388013911,False
1250.0,8.0,0.0,1.437318268623077,0.018777176962860763,0.8710537503112756,6.99592577819916,7.1467939161115694,True,-28.562681731376923,0.14679391611156944,False
1250.0,10.0,0.0,1.6975349020230937,0.01825674369606073,0.8753906942012759,6.994739689211734,7.14562191260836,True,-28.302465097976906,0.14562191260835977,False
1250.0,12.0,0.0,1.9325689507564974,0.017786675598593923,0.8793079283468326,6.993639567971424,7.144534855936164,True,-28.067431049243503,0.1445348559361639,False
1250.0,16.0,0.0,2.342648205238177,0.01696651708963056,0.8861425825881939,6.991654554730883,7.142573415861689,True,-27.657351794761823,0.1425734158616887,False
1260.0,1.0,0.0,0.3194269710080455,0.024958151624859003,0.88529882924076,7.030528859819865,7.180986066372855,False,-29.680573028991954,0.18098606637285464,False
1260.0,2.0,0.0,0.6091700768131751,0.02437866541324875,0.8901278810041787,7.029613723703539,7.180081798020633,False,-29.390829923186825,0.18008179802063307,False
1260.0,4.0,0.0,1.1176489536716723,0.02336170765953175,0.8986025289518204,7.027912034750987,7.178400317596391,False,-28.882351046328328,0.17840031759639086,False
1260.0,6.0,0.0,1.552571802784179,0.022491861961306737,0.9058512431036955,7.026359456133032,7.176866176736353,False,-28.44742819721582,0.17686617673635308,False
1260.0,8.0,0.0,1.9314603144147817,0.02173408493804553,0.9121660516308722,7.02493374243861,7.175457394206416,False,-28.06853968558522,0.1754573942064157,False
1260.0,10.0,0.0,2.2662887362833146,0.021064428094308467,0.9177465253286811,7.023616983013487,7.174156272051595,False,-27.733711263716685,0.17415627205159456,False
1260.0,12.0,0.0,2.5656015287344083,0.020465802509406283,0.9227350718695326,7.022394667472944,7.172948472206278,False,-27.43439847126559,0.1729484722062784,False
1260.0,16.0,0.0,3.081394606582098,0.019434216353710905,0.9313316231669941,7.0201879537886995,7.170767964507503,False,-26.918605393417902,0.17076796450750287,False
1270.0,1.0,0.0,0.42434476384459074,0.028711022244274496,0.9200700108304405,7.057756862027544,7.207890720501765,False,-29.57565523615541,0.20789072050176483,False
1270.0,2.0,0.0,0.80378936173258,0.027952133048498518,0.926394087461907,7.056837115768228,7.206981896754634,False,-29.19621063826742,0.20698189675463396,False
1270.0,4.0,0.0,1.4585223417369377,0.026642667088489804,0.937306303795313,7.0550975616198635,7.2052630008054095,False,-28.541477658263062,0.2052630008054095,False
1270.0,6.0,0.0,2.0085723039612944,0.02554256716404109,0.9464738031657189,7.0534860668071815,7.203670643414109,False,-27.991427696038706,0.20367064341410934,False
1270.0,8.0,0.0,2.481157664974379,0.02459739644201493,0.9543502258492703,7.051991539066259,7.202193864043781,False,-27.51884233502562,0.2021938640437808,False
1270.0,10.0,0.0,2.894183010959626,0.02377134575004443,0.9612339816156912,7.050601822730022,7.200820651382838,False,-27.105816989040374,0.20082065138283767,False
1270.0,12.0,0.0,3.2600516654566576,0.023039608441050363,0.967331792523975,7.049305510520973,7.199539733621721,False,-26.739948334543342,0.19953973362172128,False
1270.0,16.0,0.0,3.8838031378259465,0.02179210549631179,0.9777276503967964,7.046953761742909,7.197215913203708,False,-26.116196862174053,0.19721591320370813,False
1280.0,1.0,0.0,0.5442182532678572,0.0324517309555907,0.9552383664055177,7.082779049142018,7.232615754851658,False,-29.455781746732143,0.23261575485165764,False
1280.0,2.0,0.0,1.0240041932987047,0.03149215907552901,0.9632347987393652,7.081941479647681,7.231788131973483,False,-28.975995806701295,0.2317881319734827,False
1280.0,4.0,0.0,1.8385172928654896,0.02986313287639544,0.9768100170654783,7.080293305898152,7.2301595312286615,False,-28.16148270713451,0.2301595312286615,False
1280.0,6.0,0.0,2.5113539392403332,0.028517459583645755,0.9880239611717256,7.078715335541044,7.228600300170876,False,-27.488646060759667,0.22860030017087585,False
1280.0,8.0,0.0,3.08213518477654,0.02737589709257334,0.9975369819306625,7.077222057074446,7.227124755239025,False,-26.91786481522346,0.22712475523902498,False
1280.0,10.0,0.0,3.576027172345448,0.026388113117435524,1.005768515056811,7.075814778674623,7.225734189074033,False,-26.423972827654552,0.22573418907403298,False
1280.0,12.0,0.0,4.010005991112244,0.025520155479901933,1.013001495369591,7.074489691800342,7.224424838363269,False,-25.989994008887756,0.22442483836326943,False
1280.0,16.0,0.0,4.74295025897753,0.024054266944171364,1.0252172331673457,7.072063077016738,7.222027041016296,False,-25.25704974102247,0.2220270410162959,False
1290.0,1.0,0.0,0.6790819474690792,0.036180449407676014,0.9908064766462694,7.105698366396084,7.255262892121888,False,-29.32091805253092,0.2552628921218876,False
1290.0,2.0,0.0,1.269414166259093,0.03499978497009598,1.0006453469594363,7.105035535227784,7.254607932452318,False,-28.730585833740907,0.25460793245231805,False
1290.0,4.0,0.0,2.256018131040932,0.03302657704053231,1.017088746372467,7.103610525757337,7.253199845783294,False,-27.743981868959068,0.2531998457832936,False
