0.4	1	1290	48.88	0.41	17.61	0.16	6.84	0.19	11.72	13.21	0.84	0.14	0
0.4	1	1220	51.09489051	0.579942006	19.30806919	0.049995	5.409459054	0.069993001	7.939206079	10.1289871	2.099790021	3.319668033	0
0.4	1	1240	49.79	0.51	18.15	0.04	6.02	0.15	9.8	11.86	1.61	2.07	0
0.4	1	1285	48.66	0.46	16.65	0.15	7.09	0.15	12.33	13.49	0.79	0.23	0
0.4	1	1290	48.5	0.45	16.22	0.18	6.96	0.14	12.98	13.46	0.84	0.27	0
0.4	0.5	1175	55.90440956	1.739826017	16.51834817	0.259974003	5.739426057	0.089991001	5.929407059	8.749125087	2.919708029	2.149785021	0
0.4	0.5	1225	52.79223379	1.010808647	16.38310649	0.190152122	6.755404323	0.120096077	8.54683747	11.64931946	1.791433147	0.760608487	0
0.4	1	1200	53.24727309	1.791253878	18.95326729	0.070049034	5.7139998	0.130091064	5.914139898	7.825477834	3.182227559	3.172220554	0
0.4	1	1225	50.17515764	1.671504354	18.30647583	0.150135122	7.66690021	0.270243219	8.307476729	10.2492243	2.031828646	1.171053949	0
0.4	1.5	1275	49.6996997	1.651651652	17.75775776	0.12012012	7.807807808	0.19019019	8.858858859	9.54954955	2.932932933	1.431431431	0
0.4	1.5	1300	48.73360697	1.291420563	16.21783962	0.19020923	8.61948143	0.210231254	10.85193713	11.06216839	1.982180398	0.840925018	0
0.4	1.5	1325	49.92493244	1.201080973	14.22280052	0.200180162	9.058152337	0.130117105	11.56040436	11.2401161	1.701531378	0.760684616	0
0.4	2	1350	47.52851711	1.911146688	16.36982189	0.090054032	9.245547328	0.190114068	10.43626176	9.55573344	2.491494897	2.181308785	0
0.4	2	1400	48.21893136	1.25075045	14.21853112	0.280168101	9.965979588	0.160096058	13.01781069	10.5663398	1.460876526	0.86051631	0
0.1	2.5	1425	46.98167985	1.902092302	14.78626489	0.14015417	9.920913004	0.14015417	12.29352288	9.350285314	2.412653919	2.072279507	0
0.1	2.5	1450	46.48042455	1.471913488	13.06698708	0.200260338	10.96425353	0.200260338	14.3786923	10.60378492	1.682186843	0.951236608	0
0.4	3	1470	45.63	2	12.54	0.28	11.2	0.19	15.24	8.98	2.06	1.88	0
0.4	1	1250	51.32	1.09	19.09	0.03	6.38	0.23	8.14	8.85	4.6	0.27	0
0.4	1	1300	50.49	0.65	17.94	0.11	6.69	0.11	10.08	11.37	2.47	0.09	0
0.4	1.5	1300	50.71	1.04	19.31	0.17	6.37	0.14	8.31	7.75	5.47	0.73	0
0.4	2	1375	47.47	0.75	15.53	0.21	8.51	0.18	13.94	11.11	2.22	0.08	0
0.1	2.5	1425	47.97	0.83	14.88	0.11	9.43	0	13.36	10.23	2.37	0.82	0
0.4	3	1500	45.57884232	0.988023952	14.30139721	0.209580838	9.570858283	0.169660679	16.69660679	10.61876248	1.796407186	0.069860279	0
0.4	1	1300	49.80419721	0.542223115	16.16628176	0.170699869	6.526759715	0.130535194	12.35063761	12.25022593	2.008233758	0.050205844	0
0.4	1	1280	50.4918691	0.742822726	16.86408352	0.110419594	6.12326842	0.10038145	11.44348524	11.44348524	2.609917687	0.070267015	0
0.4	1	1270	50.4918691	0.672555712	17.46637221	0.130495884	6.02288697	0.140534029	10.7408151	11.04195945	3.212206384	0.08030516	0
0.4	1	1270	49.96481351	0.703729768	18.09590831	0.070372977	6.031969438	0.140745954	10.75701216	11.36020911	2.814919071	0.060319694	0
0.4	1	1260	52.62094738	0.616099384	18.17998182	0.070699929	5.453994546	0.100999899	8.887991112	9.392990607	4.443995556	0.232299768	0
0.4	1	1250	55.92503023	0.614671503	19.04474002	0.020153164	4.13139863	0.080612656	5.743651753	6.549778315	7.456670697	0.433293027	0
0.4	1	1330	50.12516271	0.500650846	14.8493041	0.600781015	6.368278762	0.13016922	13.02693502	12.72654451	1.582056674	0.090117152	0
0.4	1	1300	49.81601193	0.626553953	17.6131278	0.298359025	6.255594232	0.089507708	10.78070612	11.70561909	2.655395326	0.159124814	0
0.4	1	1270	51.25931896	0.644771308	19.23231916	0	5.430183357	0.110820069	8.583518033	9.873060649	4.422728189	0.443280274	0
0.4	1.5	1269	52.70527053	1.120112011	20.60206021	0.020002	4.550455046	0	7.03070307	6.700670067	7.270727073	0	0
0.4	1.5	1280	51.3	0.98	19.3	0.09	5.9	0	8.13	7.85	6.45	0	0
0.4	1.5	1289	48.89022196	1.299740052	18.59628074	0.139972006	5.728854229	0	11.09778044	10.69786043	3.549290142	0	0
0.4	1.5	1319	48.47576212	0.929535232	16.19190405	0.449775112	5.687156422	0	14.19290355	12.19390305	1.87906047	0	0
0.4	1.5	1336	48.39516048	0.96990301	16.59834017	0.419958004	5.789421058	0	13.89861014	12.09879012	1.829817018	0	0
0.4	1.7	1366	46.96892511	1.100356597	16.60723383	0.020376974	11.20733571	0.091696383	9.546612328	8.976057056	4.910850739	0.489047376	0.081507896
0.4	1.7	1381	46.66464217	0.718696224	16.39842089	0	9.839052536	0.080979856	13.66535074	9.424030772	3.006377164	0.141714748	0.060734892
0.4	1.7	1396	46.13186365	0.571545213	16.84017146	0.040824658	9.226372729	0.010206165	13.77832211	10.71647275	2.531128802	0.102061645	0.051030823
0.4	1.7	1366	46.29254457	0.759724473	15.70097245	0.01012966	9.278768233	0.060777958	13.67504052	10.73743922	3.221231767	0.172204214	0.091166937
0.4	1.7	1381	46.48594378	0.602409639	15.76305221	0.100401606	8.644578313	0.060240964	15.06024096	10.64257028	2.429718876	0.15060241	0.060240964
0.4	1.5	1365	49.43573355	0.759013283	17.67701987	0.089883152	9.877159692	0.089883152	8.578847498	9.527614102	3.665235194	0.229701388	0.069909118
0.4	1.5	1380	46.66802527	0.733645812	16.71082128	0.030568576	10.18952517	0.040758101	11.8198492	9.924597514	3.617281435	0.203790503	0.061137151
0.4	1.5	1395	46.82075191	0.803491717	16.56581688	0.099196508	10.41563337	0.039678603	12.39956354	9.294712826	3.273484773	0.228151969	0.059517905
0.4	1.9	1386	45.37970776	0.679152089	15.64107841	0.092611648	8.97303972	0.113192015	14.81786376	11.31920148	2.747478905	0.164642931	0.072031282
0.4	1.9	1401	48.88310127	1.121907242	16.72843835	0.160272463	10.11719924	0	9.53621156	8.995291996	3.746368827	0.601021737	0.110187318
0.4	1.9	1416	46.62216828	0.859627832	14.76537217	0.101132686	8.758090615	0	15.2710356	10.21440129	3.05420712	0.242718447	0.111245955
0.4	1.9	1421	46.08853851	0.505356782	15.56498888	0.101071356	9.551243178	0	15.66606024	10.30927835	2.112391348	0.101071356	0
0.4	1.5	1355	48.25409753	0.987478367	18.32434083	0	9.040008144	0.040720757	8.388476026	9.060368523	5.619464522	0.213783976	0.071261325
0.4	1.5	1370	47.21331195	0.761828388	17.34161989	0.030072173	9.492782678	0	11.32718524	9.432638332	4.200080192	0.120288693	0.080192462
0.4	1.5	1385	46.97720515	0.654112983	17.64122894	0.049554014	8.612487611	0.089197225	12.38850347	10.10901883	3.300297324	0.069375619	0.109018831
0.4	1.7	1366	47.47089522	0.883179446	15.0541951	0	9.574468085	0.03010839	13.64913689	9.112806102	4.024488157	0.130469691	0.07025291
0.4	1.7	1381	46.29061925	0.858369099	15.63458001	0.091968118	9.421622726	0	13.69303086	9.595340282	4.179440016	0.122624157	0.112405477
0.4	1.7	1381	46.86226569	0.896495518	17.21678892	0	9.688264059	0.040749796	11.71556642	8.730643847	4.635289324	0.152811736	0.061124694
0.4	1.7	1411	46.94167852	0.853485064	16.56167446	0	9.997967893	0	12.49745987	8.341800447	4.582401951	0.17272912	0.050802682
0.4	1.9	1406	46.11750205	0.955217749	15.92029581	0	10.13763353	0	13.76335251	8.370994248	4.457682827	0.195152013	0.082169269
0.4	1.9	1515	46.21635348	0.94464195	16.25190452	0	10.36058913	0	13.20467242	8.491620112	4.255967496	0.172676486	0.101574403
0.4	1.9	1421	46.62331166	0.550275138	17.40870435	0	8.224112056	0	13.50675338	10.90545273	2.60130065	0.060030015	0.12006003
0.4	2.1	1410	46.1867863	0.917618271	16.00734095	0	9.002854812	0.061174551	13.45840131	9.125203915	5.016313214	0.152936378	0.07137031
0.1	2.1	1418	48.57604524	1.01999596	15.65340335	0	10.02827712	0.060593819	12.21975359	8.866895577	3.342759039	0.161583518	0.070692789
0.4	2	1465	45.36708861	0.212658228	16.20253165	0.243037975	9.772151899	0.060759494	17.41772152	9.681012658	0.941772152	0.030379747	0.070886076
0.4	2.1	1430	46.18745449	0.499323832	14.97971497	0	11.13076043	0.114428378	12.48309581	12.17101841	2.298970145	0.072818059	0.062415479
0.4	2.3	1496	44.43066749	0.537301095	13.94916305	0.113659847	8.793139078	0	17.56561273	12.39925604	1.994213681	0.072328994	0.144657987
0.4	2.3	1511	44.95996715	0.42085814	14.1654691	0.143707658	8.283719975	0	18.06610552	12.11250257	1.662902895	0.061588996	0.123177992
