rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Paragneiss,,副片麻岩,2741,,6.15,,,,200,MPa,25,pelitic/psammitic,amphibolite,67.4,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2741,,6.23,,,,300,MPa,25,pelitic/psammitic,amphibolite,67.4,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2741,,6.3,,,,400,MPa,25,pelitic/psammitic,amphibolite,67.4,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2741,,6.35,,,,500,MPa,25,pelitic/psammitic,amphibolite,67.4,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2741,,6.4,,,,600,MPa,25,pelitic/psammitic,amphibolite,67.4,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Pyriclasite,,辉石斜长麻粒岩,3077,,7.19,,,,100,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3077,,7.32,,,,200,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3077,,7.39,,,,300,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3077,,7.44,,,,400,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3077,,7.48,,,,500,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3077,,7.51,,,,600,MPa,25,mafic,,43.09,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Mafic Granofels,,镁铁质粒状岩,3080,,7.15,,,,100,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Mafic Granofels,,镁铁质粒状岩,3080,,7.28,,,,200,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Mafic Granofels,,镁铁质粒状岩,3080,,7.36,,,,300,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Mafic Granofels,,镁铁质粒状岩,3080,,7.4,,,,400,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Mafic Granofels,,镁铁质粒状岩,3080,,7.43,,,,500,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Mafic Granofels,,镁铁质粒状岩,3080,,7.45,,,,600,MPa,25,mafic,granulite,45.2,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,基性麻粒岩，无定向构造
Amphibolite,,斜长角闪岩,3062,,6.17,,,,100,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3062,,6.8,,,,200,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3062,,6.98,,,,300,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3062,,7.1,,,,400,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3062,,7.17,,,,500,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3062,,7.23,,,,600,MPa,25,mafic,amphibolite,47.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Metagabbro,,变辉长岩,2910,,6.96,,,,100,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Metagabbro,,变辉长岩,2910,,7.11,,,,200,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Metagabbro,,变辉长岩,2910,,7.18,,,,300,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Metagabbro,,变辉长岩,2910,,7.23,,,,400,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Metagabbro,,变辉长岩,2910,,7.26,,,,500,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Metagabbro,,变辉长岩,2910,,7.29,,,,600,MPa,25,mafic,granulite,46.12,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,辉长岩区域变质产物，下地壳常见
Hornblendite,,角闪石岩,3233,,7.19,,,,100,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Hornblendite,,角闪石岩,3233,,7.43,,,,200,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Hornblendite,,角闪石岩,3233,,7.56,,,,300,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Hornblendite,,角闪石岩,3233,,7.63,,,,400,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Hornblendite,,角闪石岩,3233,,7.69,,,,500,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Hornblendite,,角闪石岩,3233,,7.73,,,,600,MPa,25,ultramafic,,40.53,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，与层状侵入体有关
Pyriclasite,,辉石斜长麻粒岩,3047,,6.81,,,,100,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3047,,7.19,,,,200,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3047,,7.33,,,,300,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3047,,7.41,,,,400,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3047,,7.46,,,,500,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3047,,7.5,,,,600,MPa,25,mafic,granulite,43.88,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Kinzigite,,金兹岩,2725,,5.74,,,,100,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2725,,5.97,,,,200,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2725,,6.08,,,,300,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2725,,6.16,,,,400,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2725,,6.22,,,,500,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2725,,6.28,,,,600,MPa,25,pelitic,amphibolite,69.88,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Paragneiss,,副片麻岩,2752,,6.22,,,,100,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2752,,6.34,,,,200,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2752,,6.41,,,,300,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2752,,6.46,,,,400,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2752,,6.5,,,,500,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2752,,6.53,,,,600,MPa,25,pelitic/psammitic,amphibolite,62.56,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Stronalite,,碎云片麻岩,2954,,6.6,,,,100,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2954,,6.74,,,,200,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2954,,6.82,,,,300,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2954,,6.87,,,,400,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2954,,6.92,,,,500,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2954,,6.95,,,,600,MPa,25,pelitic,,59.99,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,6.84,,,,100,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,7.17,,,,200,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,7.34,,,,300,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,7.46,,,,400,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,7.55,,,,500,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2997,,7.6,,,,600,MPa,25,pelitic,granulite,50.71,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Pyriclasite,,辉石斜长麻粒岩,3085,,6.82,,,,100,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3085,,7.09,,,,200,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3085,,7.24,,,,300,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3085,,7.3,,,,400,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3085,,7.35,,,,500,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyriclasite,,辉石斜长麻粒岩,3085,,7.4,,,,600,MPa,25,mafic,granulite,46.83,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,无石英的镁铁质麻粒岩，下地壳代表
Pyroxenite,,辉石岩,3288,,7.537,,,,100,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Pyroxenite,,辉石岩,3288,,7.6,,,,200,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Pyroxenite,,辉石岩,3288,,7.64,,,,300,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Pyroxenite,,辉石岩,3288,,7.675,,,,400,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Pyroxenite,,辉石岩,3288,,7.71,,,,500,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Pyroxenite,,辉石岩,3288,,7.73,,,,600,MPa,25,ultramafic,,52.93,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,超镁铁质堆晶岩，几乎全由辉石组成
Altered Metagabbro,,蚀变变辉长岩,2890,,6.6,,,,100,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Altered Metagabbro,,蚀变变辉长岩,2890,,6.71,,,,200,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Altered Metagabbro,,蚀变变辉长岩,2890,,6.76,,,,300,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Altered Metagabbro,,蚀变变辉长岩,2890,,6.79,,,,400,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Altered Metagabbro,,蚀变变辉长岩,2890,,6.82,,,,500,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Altered Metagabbro,,蚀变变辉长岩,2890,,6.85,,,,600,MPa,25,mafic,,44.25,Burke&Fountain 1990,compiled_518_strict,变质岩,绿片岩相-角闪岩相,基性岩热液蚀变产物，常伴生铜、金矿化
Stronalite,,碎云片麻岩,2992,,6.51,,,,100,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2992,,6.68,,,,200,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2992,,6.73,,,,300,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2992,,6.77,,,,400,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2992,,6.81,,,,500,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Stronalite,,碎云片麻岩,2992,,6.83,,,,600,MPa,25,pelitic,granulite,58.08,Burke&Fountain 1990,compiled_518_strict,变质岩,麻粒岩相,过时术语，指含石榴石、长石、石英的高级变质岩
Amphibolite,,斜长角闪岩,2949,,6.37,,,,100,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2949,,6.6,,,,200,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2949,,6.71,,,,300,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2949,,6.77,,,,400,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2949,,6.81,,,,500,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,2949,,6.83,,,,600,MPa,25,mafic,amphibolite,47.27,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Kinzigite,,金兹岩,2872,,6.3,,,,100,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2872,,6.45,,,,200,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2872,,6.52,,,,300,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2872,,6.56,,,,400,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2872,,6.58,,,,500,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2872,,6.61,,,,600,MPa,25,pelitic,amphibolite,60.53,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.16,,,,100,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.34,,,,200,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.44,,,,300,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.52,,,,400,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.56,,,,500,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2900,,6.59,,,,600,MPa,25,pelitic,amphibolite,55.84,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Marble,,大理岩,2738,,6.13,,,,100,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Marble,,大理岩,2738,,6.4,,,,200,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Marble,,大理岩,2738,,6.5,,,,300,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Marble,,大理岩,2738,,6.55,,,,400,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Marble,,大理岩,2738,,6.58,,,,500,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Marble,,大理岩,2738,,6.59,,,,600,MPa,25,carbonate,,24.87,Burke&Fountain 1990,compiled_518_strict,变质岩,任何变质相,碳酸盐岩变质产物，用于建筑和雕塑
Orthogneiss,,正片麻岩,2620,,5.68,,,,100,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Orthogneiss,,正片麻岩,2620,,5.95,,,,200,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Orthogneiss,,正片麻岩,2620,,6.09,,,,300,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Orthogneiss,,正片麻岩,2620,,6.16,,,,400,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Orthogneiss,,正片麻岩,2620,,6.21,,,,500,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Orthogneiss,,正片麻岩,2620,,6.25,,,,600,MPa,25,可变（多为felsic）,amphibolite,70.49,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为火成岩的片麻岩，区分于副片麻岩
Paragneiss,,副片麻岩,2737,,6.47,,,,100,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2737,,6.56,,,,200,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2737,,6.26,,,,300,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2737,,6.29,,,,400,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2737,,6.33,,,,500,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
