p_kbar,p_gpa,t_c,f,fig6_panel
15,1.5,1350,0.11,c
15,1.5,1400,0.18,c
15,1.5,1450,0.25,c
15,1.5,1500,0.34,c
15,1.5,1550,0.44,c
10,1,1250,0.11,b
10,1,1300,0.15,b
10,1,1350,0.21,b
10,1,1400,0.29,b
10,1,1450,0.4,b
5,0.5,1250,0.14,
5,0.5,1300,0.21,
5,0.5,1350,0.29,
5,0.5,1400,0.39,
2,0.2,1200,0.17,
2,0.2,1250,0.24,
2,0.2,1300,0.29,
2,0.2,1350,0.36,
