dx_km,xconv_pss_psp_km,model_distance_pss_km,dt_pss_psp_s,xconv_pps_ppp_km,model_distance_ppp_km,dt_pps_ppp_s,dt_diff_s
0.000141,330.352799,248.609000,0.570105,330.352657,293.253000,0.568173,0.001933
0.000263,330.352394,249.397000,0.570204,330.352657,293.253000,0.568173,0.002031
0.000333,330.352990,250.939000,0.570059,330.352657,293.253000,0.568173,0.001886
0.000364,330.352293,255.660000,0.570228,330.352657,293.253000,0.568173,0.002056
0.000364,330.352293,252.681000,0.570228,330.352657,293.253000,0.568173,0.002056
0.000879,330.372875,257.369000,0.565272,330.373754,294.648000,0.563843,0.001429
0.001706,330.363482,258.640000,0.567519,330.365189,298.357000,0.565585,0.001934
0.001714,330.372040,271.519000,0.565471,330.373754,294.648000,0.563843,0.001628
0.001714,330.372040,272.971000,0.565471,330.373754,294.648000,0.563843,0.001628
0.001714,330.372040,275.073000,0.565471,330.373754,294.648000,0.563843,0.001628
0.002065,330.371689,260.863000,0.565554,330.373754,294.648000,0.563843,0.001711
0.002789,330.362400,256.584000,0.567780,330.365189,298.357000,0.565585,0.002195
