model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_s,x_conv_km,h_km,vp_vs_ratio
66.621000,84.860000,-18.239000,0.990199,1.010439,83.918500,1.588417,2.915285
66.782000,84.860000,-18.078000,0.988809,1.058524,83.882277,1.672992,2.911933
66.930000,84.860000,-17.930000,0.988098,1.054222,83.891980,1.669298,2.912131
67.077000,84.860000,-17.783000,0.987425,1.049592,83.902360,1.665254,2.912347
67.228000,84.860000,-17.632000,0.986266,1.045586,83.911292,1.661703,2.912537
67.382000,84.860000,-17.478000,0.984616,1.043838,83.915174,1.660139,2.912621
67.532000,84.860000,-17.328000,0.982658,1.043995,83.914827,1.660279,2.912613
67.694000,84.860000,-17.166000,0.980645,1.047566,83.906882,1.663464,2.912443
67.844000,84.860000,-17.016000,0.979151,1.055153,83.889885,1.670103,2.912088
67.995000,84.860000,-16.865000,0.978155,1.010556,83.918621,1.588754,2.915270
68.149000,84.860000,-16.711000,0.977361,1.002368,83.910508,1.565229,2.916360
68.310000,84.860000,-16.550000,0.976746,0.991756,83.903778,1.536892,2.917673
68.461000,84.860000,-16.399000,0.976467,0.980681,83.898916,1.508494,2.918989
68.619000,84.860000,-16.241000,0.974837,1.027733,83.833419,1.571779,2.916056
68.770000,84.860000,-16.090000,0.972966,1.023667,83.822066,1.554442,2.916860
68.920000,84.860000,-15.940000,0.971511,1.019049,83.811255,1.535966,2.917716
69.082000,84.860000,-15.778000,0.970160,1.012881,83.798649,1.512260,2.918815
69.232000,84.860000,-15.628000,0.969011,1.007513,83.788244,1.491746,2.919766
69.394000,84.860000,-15.466000,0.968604,1.002542,83.778114,1.472113,2.920675
69.544000,84.860000,-15.316000,0.967940,0.967621,83.804891,1.409429,2.923580
69.698000,84.860000,-15.162000,0.967511,0.968415,83.792223,1.401235,2.923960
69.859000,84.860000,-15.001000,0.967289,0.970359,83.777480,1.393967,2.924297
70.007000,84.860000,-14.853000,0.967270,0.973323,83.761657,1.388095,2.924569
70.171000,84.860000,-14.689000,0.967445,0.978149,83.740834,1.382354,2.924835
70.322000,84.860000,-14.538000,0.968474,0.983553,83.720213,1.377930,2.925040
70.483000,84.860000,-14.377000,0.970321,0.989065,83.700248,1.374091,2.925218
70.637000,84.860000,-14.223000,0.972335,0.883354,83.818491,1.214288,2.932624
70.798000,84.860000,-14.062000,0.974545,1.089610,83.555437,1.498545,2.919450
70.949000,84.860000,-13.911000,0.976755,nan,nan,nan,nan
71.110000,84.860000,-13.750000,0.979355,nan,nan,nan,nan
71.261000,84.860000,-13.599000,0.981566,nan,nan,nan,nan
71.422000,84.860000,-13.438000,0.984252,nan,nan,nan,nan
71.573000,84.860000,-13.287000,0.986784,nan,nan,nan,nan
71.731000,84.860000,-13.129000,0.989058,nan,nan,nan,nan
71.892000,84.860000,-12.968000,0.990921,nan,nan,nan,nan
72.043000,84.860000,-12.817000,0.991781,nan,nan,nan,nan
