x_conv_km,h_km,vp_vs_ratio,n_points,window_rms_s
329.707639,1.049670,2.501207,20,0.031241
329.907639,1.224436,2.494588,41,0.048037
330.107639,1.005160,2.510887,39,0.061044
330.307639,1.075786,2.491529,26,0.052156
330.507639,1.031504,2.512355,8,0.007802
331.085676,1.130471,2.485245,6,0.013641
331.285676,0.918386,2.517745,14,0.027336
331.485676,0.858525,2.481558,13,0.028733
331.685676,0.767988,2.518785,5,0.016657
