model_x_km,receiver_x_km,true_offset_km,obs_dt_s,pred_dt_eff_s,x_conv_km,h_km,vp_vs_point_est
358.057000,330.766000,27.291000,0.560531,0.551016,331.433576,0.881202,2.332253
359.665000,330.766000,28.899000,0.560837,0.537633,331.455616,0.832107,2.336933
360.445000,330.766000,29.679000,0.565821,0.576844,331.523814,0.877206,2.325874
362.208000,330.766000,31.442000,0.572110,0.555182,331.511409,0.829468,2.332376
363.986000,330.766000,33.220000,0.577071,0.595750,331.643698,0.798476,nan
365.110000,330.766000,34.344000,0.581367,0.587864,331.619538,0.804105,2.325075
366.386000,330.766000,35.620000,0.579399,0.566317,331.549473,0.821166,2.330027
368.607000,330.766000,37.841000,0.584923,0.528881,331.324088,0.895377,2.344526
369.550000,330.766000,38.784000,0.579949,0.564984,331.303957,0.987605,2.344567
371.595000,330.766000,40.829000,0.573001,0.553951,331.204835,1.014914,2.356326
373.488000,330.766000,42.722000,0.564259,0.554667,331.148394,1.042327,2.356670
375.268000,330.766000,44.502000,0.555668,0.555213,331.126480,1.052484,2.355918
377.678000,330.766000,46.912000,0.544035,0.555193,331.127241,1.052139,2.355953
378.826000,330.766000,48.060000,0.538494,0.556181,331.088545,1.068682,2.355347
381.867000,330.766000,51.101000,0.523816,nan,nan,nan,nan
